dist_err,waypoint_idx
0.0659752,263
0.0864016,263
0.0341599,264
0.0317103,264
0.0414487,264
0.0606214,264
0.08224,264
0.0551833,265
0.0510787,265
0.0625837,265
0.0773706,265
0.0960304,265
0.0605547,266
0.0637719,266
0.0711336,266
0.090868,266
0.0657624,267
0.0661625,267
0.0739744,267
0.0887251,267
0.103387,267
0.0772612,268
0.0726793,268
0.0732843,268
0.0813116,268
0.0897154,268
0.103863,268
0.0900195,269
0.0850638,269
0.0906613,269
0.10067,269
0.106426,269
0.108706,269
0.118789,269
0.0862831,270
0.0798038,270
0.0824564,270
0.0884512,270
0.0921955,270
0.0971006,270
0.0786029,271
0.0665059,271
0.063751,271
0.0728427,271
0.0837677,271
0.0942388,271
0.0698067,272
0.0609969,272
0.0598281,272
0.0652723,272
0.0759198,272
0.0950168,272
0.063621,273
0.0627543,273
0.0694929,273
0.0833696,273
0.0711552,274
0.069857,274
0.071458,274
0.0806323,274
0.0911001,274
0.0700715,275
0.0635466,275
0.0683199,275
0.0769602,275
0.0898559,275
0.0536551,276
0.0526956,276
0.0554519,276
0.0730592,276
0.0826416,276
0.0610832,277
0.0521888,277
0.0531757,277
0.0618437,277
0.0760372,277
0.04576,278
0.0409521,278
0.0539596,278
0.0753502,278
0.0388373,279
0.0469194,279
0.0646196,279
0.0298729,280
0.0192657,280
0.0310955,280
0.0519592,280
0.0134277,281
0.0128648,281
0.034552,281
0.0574814,281
0.0200399,282
0.0258841,282
0.0412816,282
0.0655196,282
0.0292009,283
0.0391786,283
0.0608545,283
0.0387436,284
0.0509476,284
0.0684625,284
0.0557967,285
0.060367,285
0.0779535,285
0.0584171,286
0.0739683,286
0.0542903,287
0.0599279,287
0.0276756,288
0.0459977,288
0.0255637,289
0.045821,289
0.0765258,289
0.0601273,290
0.07835,290
0.0775675,291
0.0843901,291
0.0988621,291
0.0870567,292
0.0968075,292
0.10168,292
0.0812855,293
0.0821036,293
0.0865428,293
0.0778648,294
0.0800033,294
0.0873471,294
0.100997,294
0.0951959,295
0.0972006,295
0.104877,295
0.0941939,296
0.0986416,296
0.0927149,297
