xte,waypoint_idx
0.0956907,269
0.094414,269
0.0890525,269
0.0839062,270
0.079759,270
0.0813711,270
0.0801654,270
0.0810382,270
0.0793357,270
0.0716317,271
0.065068,271
0.0632256,271
0.0677479,271
0.0704238,271
0.069214,271
0.066084,272
0.0602761,272
0.059036,272
0.0593773,272
0.0615026,272
0.062729,272
0.0609212,273
0.0626133,273
0.0637418,273
0.0658282,273
0.0660021,274
0.0680072,274
0.0713928,274
0.071965,274
0.0697697,274
0.06758,275
0.063546,275
0.0646709,275
0.0632756,275
0.0614218,275
0.0529765,276
0.0523946,276
0.05212,276
0.0596248,276
0.0612064,276
0.0564561,277
0.0517589,277
0.0524948,277
0.0531174,277
0.0526462,277
0.0441575,278
0.0377825,278
0.035385,278
0.0369335,278
0.0383765,279
0.0351611,279
0.0319502,279
0.0254989,280
0.0185118,280
0.0112214,280
0.00665512,280
0.00450477,281
0.00915134,281
0.0143476,281
0.0149707,281
0.0183537,282
0.0199694,282
0.0223232,282
0.0264979,282
0.0286099,283
0.0271396,283
0.0284362,283
0.0377446,284
0.0456015,284
0.0472476,284
0.0551517,285
0.0513668,285
0.0551189,285
0.0568388,286
0.0566158,286
0.0516368,287
0.0353241,287
0.0259295,288
0.020971,288
0.025561,289
0.0389383,289
0.0473196,289
0.0585383,290
0.0638594,290
0.0775675,291
0.0806592,291
0.0852594,291
0.0870567,292
0.0938045,292
0.0906112,292
0.0812855,293
0.0812982,293
0.0792708,293
0.0776993,294
0.0798149,294
0.0818645,294
0.0887276,294
0.0951248,295
0.0928513,295
0.0935235,295
0.0939588,296
0.0928771,296
0.0927131,297
