x,y,z
-2.9519,-3.6692,-2.9519
-2.94435,-3.64696,-2.94435
-2.92925,-3.63585,-2.92925
-2.9217,-3.61361,-2.9217
-2.89905,-3.60249,-2.89905
-2.88395,-3.59137,-2.88395
-2.8613,-3.58025,-2.8613
-2.83865,-3.56913,-2.83865
-2.80845,-3.56913,-2.80845
-2.78581,-3.55801,-2.78581
-2.75561,-3.5469,-2.75561
-2.72541,-3.5469,-2.72541
-2.70276,-3.53578,-2.70276
-2.66501,-3.5469,-2.66501
-2.63481,-3.53578,-2.63481
-2.60461,-3.5469,-2.60461
-2.57442,-3.5469,-2.57442
-2.54422,-3.55801,-2.54422
-2.51402,-3.56913,-2.51402
-2.49892,-3.56913,-2.49892
-2.48382,-3.58025,-2.48382
